Date,USD,VIX
2/18/1991,363.75,19.57
2/19/1991,363.00,19.84
2/20/1991,364.65,22.26
2/21/1991,362.25,20.78
2/22/1991,358.80,21.01
2/25/1991,357.65,22.86
2/26/1991,359.25,20.38
2/27/1991,360.00,21.26
2/28/1991,362.70,21.23
3/1/1991,366.90,21.23
3/4/1991,365.45,20.86
3/5/1991,364.50,20.45
3/6/1991,366.20,20.55
3/7/1991,366.50,21.05
3/8/1991,368.50,20.81
3/11/1991,365.85,20.88
3/12/1991,364.25,18.82
3/13/1991,366.00,16.09
3/14/1991,364.60,14.94
3/15/1991,366.00,14.90
3/18/1991,362.30,15.79
3/19/1991,364.50,16.11
3/20/1991,364.50,16.04
3/21/1991,362.35,16.86
3/22/1991,362.75,16.49
3/25/1991,359.25,16.76
3/26/1991,356.60,16.31
3/27/1991,354.05,16.55
3/28/1991,355.65,16.88
3/29/1991,355.65,16.88
4/1/1991,355.65,17.42
4/2/1991,357.50,17.40
4/3/1991,359.20,17.61
4/4/1991,358.40,18.01
4/5/1991,358.50,17.63
4/8/1991,361.00,17.41
4/9/1991,364.00,20.12
4/10/1991,363.35,19.73
4/11/1991,361.75,17.24
4/12/1991,361.95,18.45
4/15/1991,360.10,16.50
4/16/1991,361.20,15.82
4/17/1991,360.65,15.47
4/18/1991,359.15,16.26
4/19/1991,356.15,15.68
4/22/1991,356.40,16.78
4/23/1991,355.50,17.02
4/24/1991,355.80,16.72
4/25/1991,353.25,17.15
4/26/1991,353.25,17.27
4/29/1991,351.10,18.27
4/30/1991,357.75,18.24
5/1/1991,356.50,17.77
5/2/1991,354.15,17.52
5/3/1991,355.50,17.24
5/6/1991,355.50,17.92
5/7/1991,356.15,17.46
5/8/1991,356.90,17.78
5/9/1991,356.85,17.17
5/10/1991,356.70,17.54
5/13/1991,356.85,17.66
5/14/1991,357.95,18.00
5/15/1991,359.85,18.38
5/16/1991,356.00,17.24
5/17/1991,355.10,16.64
5/20/1991,355.00,17.10
5/21/1991,356.30,16.07
5/22/1991,356.75,16.16
5/23/1991,354.90,16.11
5/24/1991,355.80,15.23
5/27/1991,355.80,15.23
5/28/1991,355.65,15.67
5/29/1991,361.50,15.90
5/30/1991,361.05,16.02
5/31/1991,360.40,15.93
6/3/1991,363.00,16.87
6/4/1991,362.40,16.17
6/5/1991,362.40,16.40
6/6/1991,364.85,16.93
6/7/1991,367.00,16.98
6/10/1991,372.20,17.47
6/11/1991,371.25,17.32
6/12/1991,372.00,17.72
6/13/1991,369.70,16.99
6/14/1991,367.75,15.98
6/17/1991,366.80,15.50
6/18/1991,370.25,16.14
6/19/1991,367.40,17.44
6/20/1991,367.60,16.75
6/21/1991,366.25,16.51
6/24/1991,360.90,18.28
6/25/1991,363.35,17.85
6/26/1991,366.10,17.98
6/27/1991,364.80,17.87
6/28/1991,368.35,19.55
7/1/1991,368.90,18.64
7/2/1991,367.10,17.63
7/3/1991,369.25,19.47
7/4/1991,369.25,19.47
7/5/1991,369.90,18.35
7/8/1991,370.25,20.29
7/9/1991,369.20,19.76
7/10/1991,370.90,19.19
7/11/1991,368.30,17.39
7/12/1991,367.85,18.29
7/15/1991,367.80,17.78
7/16/1991,368.70,17.49
7/17/1991,368.90,17.52
7/18/1991,369.00,15.77
7/19/1991,370.00,15.50
7/22/1991,369.75,16.90
7/23/1991,367.40,16.58
7/24/1991,366.00,16.41
7/25/1991,364.90,15.74
7/26/1991,364.10,15.45
7/29/1991,365.10,15.67
7/30/1991,361.35,15.47
7/31/1991,362.85,15.18
8/1/1991,363.40,15.47
8/2/1991,357.80,15.26
8/5/1991,356.50,15.92
8/6/1991,357.00,15.54
8/7/1991,356.80,15.56
8/8/1991,357.60,15.98
8/9/1991,358.20,15.45
8/12/1991,358.20,15.26
8/13/1991,356.80,14.73
8/14/1991,355.85,15.09
8/15/1991,358.35,15.19
8/16/1991,357.75,16.01
8/19/1991,361.20,21.19
8/20/1991,353.80,18.86
8/21/1991,356.30,15.62
8/22/1991,356.20,14.59
8/23/1991,353.70,14.41
8/26/1991,353.70,14.81
8/27/1991,353.80,15.46
8/28/1991,354.50,15.31
8/29/1991,351.25,14.82
8/30/1991,347.40,14.46
